"";"language";"occurences";"occ_percent"
"1";"JavaScript";3320;20,4963575750093
"2";"Python";2377;14,6746511915051
"3";"TypeScript";1615;9,97036671193975
"4";"Go";1479;9,13075688356587
"5";"Java";1311;8,09359180145697
"6";"C++";1016;6,27237930608717
"7";"C";686;4,23509075194468
"8";"C#";640;3,95110507470058
"9";"PHP";636;3,9264106679837
"10";"Rust";551;3,40165452525003
"11";"Swift";443;2,73490554389431
"12";"Ruby";436;2,69169033213977
"13";"Shell";371;2,29040622299049
"14";"Objective-C";316;1,95085813063341
"15";"Kotlin";239;1,4754908013335
"16";"Vue";119;0,734658599827139
"17";"Dart";114;0,703790591431041
"18";"Lua";93;0,574144956167428
"19";"Scala";87;0,53710334609211
"20";"PowerShell";54;0,333374490677861
"21";"Clojure";50;0,308680083960983
"22";"Haskell";47;0,290159278923324
"23";"Elixir";45;0,277812075564885
"24";"CoffeeScript";38;0,234596863810347
"25";"Perl";25;0,154340041980491
"26";"R";25;0,154340041980491
"27";"Erlang";18;0,111124830225954
"28";"OCaml";18;0,111124830225954
"29";"Svelte";15;0,0926040251882948
"30";"Julia";14;0,0864304235090752
